SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
531548,SOMANY CRAM ,A ,Q,414.00,418.00,412.00,414.95,415.45,413.45,230,2121,880327.00,
531552,RAGHUNATH TO,XT,Q,4.53,4.53,4.53,4.53,4.53,4.53,3,20,90.00,
531556,CORAL (I)FIN,B ,Q,22.00,22.10,21.30,22.10,22.10,21.95,5,62,1368.00,
531574,VAS INFRA   ,XT,Q,4.36,4.75,4.36,4.63,4.75,4.58,6,502,2189.00,
531578,KMF BUILDERS,X ,Q,4.14,4.14,3.94,4.14,4.14,4.14,7,2200,8898.00,
531582,BERYL SECUR.,XT,Q,7.50,7.50,7.50,7.50,7.50,7.17,1,20,150.00,
531583,RAP MEDIA   ,XT,Q,11.81,11.81,11.10,11.10,11.10,11.25,3,110,1224.00,
531585,DEVINE IMPE ,XT,Q,2.45,2.45,2.44,2.45,2.45,2.45,9,1416,3463.00,
531591,BAMPSL SECUR,XT,Q,3.10,3.10,3.09,3.10,3.10,3.04,28,10965,33990.00,
531592,GENPHARMA   ,X ,Q,8.25,8.39,8.00,8.06,8.11,8.12,249,53676,431897.00,
531595,CGCL        ,A ,Q,394.60,396.85,390.00,390.80,390.50,389.85,536,26251,10331301.00,
531599,FDC LIMITED ,A ,Q,286.10,289.95,284.10,287.25,287.25,286.00,340,5706,1640838.00,
531613,MAL         ,XT,Q,0.64,0.64,0.64,0.64,0.64,0.61,3,2489,1592.00,
531616,STARCOM     ,XT,Q,76.95,76.95,69.65,69.65,69.65,73.30,6,1001,74774.00,
531621,CENTERAC    ,XT,Q,1.51,1.51,1.51,1.51,1.51,1.51,2,12,18.00,
531624,COUNTRY COND,T ,Q,2.44,2.46,2.41,2.46,2.46,2.35,44,110092,269610.00,
531633,LINCOLN PHAR,A ,Q,236.60,238.95,233.00,235.80,236.00,234.75,417,7056,1666485.00,
531635,SILVER OAK  ,XT,Q,20.00,20.00,20.00,20.00,20.00,19.50,4,104,2080.00,
531637,PRAVEG      ,X ,Q,67.00,67.00,64.30,64.40,64.40,66.15,65,7639,496656.00,
531638,SURAJ LTD   ,X ,Q,28.05,28.10,28.05,28.05,28.05,29.50,5,1550,43527.00,
531642,MARICOLTD   ,A ,Q,402.90,413.20,402.00,407.95,407.20,402.90,1058,51338,21032091.00,
531648,MAHAVIRIND  ,XT,Q,0.71,0.71,0.71,0.71,0.71,0.71,5,3007,2134.00,
531658,TRIJAL IND. ,X ,Q,2.90,3.02,2.90,3.02,3.02,3.03,3,364,1057.00,
531661,HITTCO TOOLS,XT,Q,5.52,5.52,5.52,5.52,5.52,5.63,3,112,618.00,
531668,VISION CORPO,XT,Q,1.57,1.57,1.57,1.57,1.57,1.50,15,34509,54179.00,
